# HomeWork05 - Legendre polynomial stability
# Columns:
# x l P_reference P_forward P_backward abs_err_forward rel_err_forward abs_err_backward rel_err_backward
0.5 21 -1.784138579223508713767e-01 -1.784138579223508713767e-01 -5.842635054119288580410e-03 0.000000000000000000000e+00 0.000000000000000000000e+00 1.725712228682315827963e-01 9.672523473111482445450e-01
0.5 22 -1.281987246779863198753e-01 -1.281987246779863198753e-01 2.003107084701744255995e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 2.131305809379730575870e+00 1.662501569132776523853e+01
0.5 23 4.524493778421856404748e-02 4.524493778421856404748e-02 1.965149885955646436031e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 1.919904948171427871983e+00 4.243358577102720181201e+01
0.5 24 1.671594460634509005104e-01 1.671594460634509005104e-01 4.564973825731994880317e-03 0.000000000000000000000e+00 0.000000000000000000000e+00 1.625944722377189056300e-01 9.726909012129699928957e-01
0.5 25 1.203811168693320610146e-01 1.203811168693320610146e-01 -1.882070216168203025120e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 2.002451333037535086135e+00 1.663426445204940355010e+01
0.5 26 -4.266414120839634449567e-02 -4.266414120839634449567e-02 -1.850265956074325979230e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 1.807601814865929634735e+00 4.236817532636029807330e+01
0.5 27 -1.577966215046346931672e-01 -1.577966215046346931672e-01 -3.637859836902266903041e-03 0.000000000000000000000e+00 0.000000000000000000000e+00 1.541587616677324262641e-01 9.769458952782749014648e-01
0.5 28 -1.138384028125268843112e-01 -1.138384028125268981890e-01 1.780612131017570876068e+00 1.387778780781445675530e-17 1.219077873981497218050e-16 1.894450533830097760379e+00 1.664157689343152530560e+01
0.5 29 4.047968696457776571762e-02 4.047968696457775183983e-02 1.753424338256345915710e+00 1.387778780781445675530e-17 3.428333776384778117845e-16 1.712944651291768149992e+00 4.231615360046387850843e+01
0.5 30 1.498488149006107911232e-01 1.498488149006108050010e-01 2.942205968421665596146e-03 1.387778780781445675530e-17 9.261192901004310986376e-17 1.469066089321891255270e-01 9.803655039222490840171e-01
0.5 31 1.082580079203643921848e-01 1.082580079203644268793e-01 -1.693967511795274827335e+00 3.469446951953614188824e-17 3.204794747845140440318e-16 1.802225519715639219520e+00 1.664750307470439734565e+01
0.5 32 -3.859956288835800534368e-02 -3.859956288835798832171e-02 -1.670349531455382230405e+00 1.702197410802241961392e-17 4.409887789987489371885e-16 1.631749968567024225061e+00 4.227379396203410138674e+01
0.5 33 -1.429921832522210825328e-01 -1.429921832522211000427e-01 -2.406042268215935735903e-03 1.750986508564089660922e-17 1.224533026029513240349e-16 1.405861409840051467969e-01 9.831736098191328025991e-01
0.5 34 -1.034250754009880026032e-01 -1.034250754009880396422e-01 1.618850944765952482030e+00 3.703905671753604522678e-17 3.581245319274112635146e-16 1.722276020166940484592e+00 1.665240284804750422500e+01
0.5 35 3.695911797832659189108e-02 3.695911797832656525697e-02 1.598061800901277251796e+00 2.663410399346421986166e-17 7.206368942322399947084e-16 1.561102682922950659868e+00 4.223863469464844446616e+01
0.5 36 1.369979535351437250858e-01 1.369979535351437405222e-01 1.983635144083370754203e-03 1.543632843076236937918e-17 1.126756132660224636349e-16 1.350143183910603543316e-01 9.855206950695470495571e-01
0.5 37 9.918640694089158533803e-02 9.918640694089161935487e-02 -1.552914112153701120533e+00 3.401684316173270161698e-17 3.429587199585165722136e-16 1.652100519094592705844e+00 1.665652149370763359867e+01
0.5 38 -3.551142159254956258020e-02 -3.551142159254953856173e-02 -1.534412465949865245207e+00 2.401846625234294041462e-17 6.763589058169980476136e-16 1.498901044357315682576e+00 4.220898452208939673549e+01
0.5 39 -1.316993126940266256982e-01 -1.316993126940266545244e-01 -1.644709672542763725586e-03 2.882622526095834913917e-17 2.188790865441304299981e-16 1.300546030214838619726e-01 9.875116305552491966164e-01
0.5 40 -9.542943523261546935659e-02 -9.542943523261553095960e-02 1.494428003499482571215e+00 6.160301218791075505976e-17 6.455347036032372715289e-16 1.589857438732098040592e+00 1.666003193728137332132e+01
0.5 41 3.422147270341801265602e-02 3.422147270341798636073e-02 1.477807866551969606661e+00 2.629529081456249972604e-17 7.683857162563359707135e-16 1.443586393848551593954e+00 4.218364318682192095483e+01
0.5 42 1.269713800411686135424e-01 1.269713800411686466241e-01 1.368531391141766849831e-03 3.308171878796395404265e-17 2.605446894980403490134e-16 1.256028486500268466925e-01 9.892217333489008266744e-01
0.5 43 9.206934414432812893253e-02 9.206934414432817181950e-02 -1.442087623513004679410e+00 4.288697218537973476771e-17 4.658116399542285468766e-16 1.534156967657332808295e+00 1.666305958748206781858e+01
0.5 44 -3.306256526118129031734e-02 -3.306256526118128008518e-02 -1.427037692559881776333e+00 1.023215800283194809595e-17 3.094786481932637541871e-16 1.393975127298700486056e+00 4.216173537312800865054e+01
0.5 45 -1.227185621438445576041e-01 -1.227185621438445783937e-01 -1.140486318723052524757e-03 2.078957665740954752209e-17 1.694085743364646506571e-16 1.215780758251215050794e-01 9.907064889060040360335e-01
